doctor_id,potential_segment,region,revenue,calls,prescriptions,revenue_per_call
D0270,High,East,1593793.24,151,1193,10554.922119205297
D0052,High,East,1246116.65,162,1164,7692.078086419752
D0022,High,West,1974632.6,162,1254,12189.09012345679
D0126,High,South,1922966.82,170,1259,11311.569529411765
D0315,High,South,1657185.52,172,1241,9634.799534883721
D0314,High,East,999766.73,174,1238,5745.785804597701
D0243,High,South,1326198.82,175,1238,7578.278971428572
D0003,High,West,1608255.75,175,1208,9190.032857142856
D0252,High,East,1875367.02,175,1225,10716.382971428571
D0055,High,North,2169426.74,175,1229,12396.72422857143
D0313,High,East,1459395.93,176,1290,8292.022329545454
D0285,High,South,2204978.57,177,1246,12457.506045197739
D0004,High,South,2278353.8,177,1275,12872.055367231638
D0007,High,East,1337726.66,179,1246,7473.333296089385
D0271,High,North,1818166.22,179,1207,10157.353184357542
D0133,High,Central,1897820.56,179,1217,10602.349497206704
D0295,High,South,1407786.32,180,1264,7821.035111111111
D0181,High,North,1878252.57,180,1215,10434.7365
D0347,High,East,1886063.45,180,1216,10478.130277777778
D0163,High,East,1966015.0,181,1287,10861.961325966851
D0316,High,North,2124751.42,181,1235,11738.95812154696
D0119,High,North,1419288.42,182,1266,7798.288021978022
D0058,High,South,1714569.94,182,1272,9420.713956043955
D0281,High,South,2204997.62,182,1220,12115.371538461539
D0129,High,West,1365673.51,183,1259,7462.696775956284
D0188,High,North,1385482.83,183,1261,7570.944426229508
D0344,High,West,1075979.6099999999,184,1266,5847.71527173913
D0088,High,South,1415079.02,184,1270,7690.646847826087
D0192,High,East,1886497.38,184,1250,10252.703152173912
D0182,High,North,1994654.99,184,1327,10840.51625
