month,doctor_id,rep_id,product_id,product_name,region,state,specialty,potential_segment,sales_calls,prescriptions,units_sold,discount_pct,revenue,cost,new_patients,repeat_patients,gross_profit,gross_margin_pct
2025-01-01,D0001,R002,P004,NeuroZen,South,Telangana,Neurology,Medium,3,29,38,0.0770,57872.87,33289.68,11,18,24583.19,0.4248
2025-01-01,D0002,R012,P001,CardioPlus,South,Karnataka,Cardiology,Low,3,18,19,0.0696,22098.09,14080.70,7,11,8017.39,0.3628
2025-01-01,D0003,R014,P002,GlucoCare,West,Gujarat,Diabetology,Medium,8,42,45,0.0829,40444.35,27297.15,13,29,13147.21,0.3251
2025-01-01,D0004,R016,P004,NeuroZen,North,Punjab,Neurology,Medium,3,38,50,0.0789,75988.53,43124.35,15,23,32864.19,0.4325
2025-01-01,D0004,R021,P005,MediCore,North,Punjab,Neurology,Medium,8,14,17,0.0789,11274.87,8193.50,4,10,3081.37,0.2733
2025-01-01,D0005,R007,P004,NeuroZen,South,Kerala,Neurology,Medium,4,32,34,0.0705,52147.03,30815.87,12,20,21331.16,0.4091
2025-01-01,D0006,R003,P001,CardioPlus,East,West Bengal,Cardiology,Medium,3,25,33,0.1002,37117.17,23998.21,7,18,13118.97,0.3534
2025-01-01,D0006,R003,P002,GlucoCare,East,West Bengal,Cardiology,Medium,6,18,22,0.0835,19759.05,13892.10,7,11,5866.95,0.2969
2025-01-01,D0007,R005,P005,MediCore,Central,Chhattisgarh,General Medicine,Medium,1,33,43,0.0642,28971.13,20436.55,13,20,8534.58,0.2946
2025-01-01,D0008,R021,P003,RespiraX,North,Uttar Pradesh,Pulmonology,High,8,53,55,0.0764,72132.10,41669.96,16,37,30462.14,0.4223
2025-01-01,D0009,R007,P001,CardioPlus,South,Tamil Nadu,Cardiology,Low,8,19,24,0.1034,26897.40,17013.36,4,15,9884.04,0.3675
2025-01-01,D0010,R006,P001,CardioPlus,North,Delhi,Cardiology,High,7,44,47,0.0983,52972.88,33116.82,18,26,19856.06,0.3748
2025-01-01,D0011,R010,P004,NeuroZen,Central,Jharkhand,Neurology,Low,3,21,26,0.0761,39636.32,22212.11,6,15,17424.21,0.4396
2025-01-01,D0012,R004,P002,GlucoCare,West,Gujarat,Diabetology,Low,1,8,8,0.0666,7317.71,4967.83,1,7,2349.87,0.3211
2025-01-01,D0013,R006,P003,RespiraX,North,Haryana,Pulmonology,Medium,6,49,53,0.0771,69461.14,42761.36,18,31,26699.77,0.3844
2025-01-01,D0014,R018,P002,GlucoCare,East,West Bengal,Diabetology,Medium,7,27,31,0.0648,28410.51,19549.20,11,16,8861.31,0.3119
2025-01-01,D0014,R008,P004,NeuroZen,East,West Bengal,Diabetology,Medium,4,12,14,0.0785,21286.73,12778.32,2,10,8508.41,0.3997
2025-01-01,D0015,R019,P004,NeuroZen,West,Maharashtra,Neurology,High,4,37,39,0.0991,57974.18,32451.29,9,28,25522.89,0.4402
2025-01-01,D0016,R016,P004,NeuroZen,North,Uttar Pradesh,Neurology,Medium,8,39,45,0.0747,68700.21,39940.97,10,29,28759.24,0.4186
2025-01-01,D0017,R012,P001,CardioPlus,South,Tamil Nadu,Cardiology,Medium,1,33,44,0.0953,49756.40,32783.47,11,22,16972.94,0.3411
2025-01-01,D0018,R013,P003,RespiraX,East,Bihar,Pulmonology,Low,3,17,21,0.0799,27435.91,16753.06,5,12,10682.85,0.3894
2025-01-01,D0019,R003,P005,MediCore,East,Bihar,General Medicine,High,4,59,65,0.0637,43819.88,32726.16,18,41,11093.71,0.2532
2025-01-01,D0020,R013,P005,MediCore,East,West Bengal,General Medicine,High,7,41,54,0.1007,34963.72,24686.68,16,25,10277.03,0.2939
2025-01-01,D0021,R021,P003,RespiraX,North,Haryana,Pulmonology,Medium,3,28,31,0.0836,40338.73,23963.42,9,19,16375.31,0.4059
2025-01-01,D0022,R006,P002,GlucoCare,North,Punjab,Diabetology,Medium,3,35,42,0.1023,36949.46,25931.08,9,26,11018.39,0.2982
2025-01-01,D0023,R015,P001,CardioPlus,Central,Jharkhand,Cardiology,Medium,4,33,36,0.1025,40387.81,26062.72,12,21,14325.09,0.3547
2025-01-01,D0024,R011,P002,GlucoCare,North,Uttar Pradesh,Diabetology,Low,3,19,20,0.0922,17792.21,12463.72,6,13,5328.49,0.2995
2025-01-01,D0024,R011,P001,CardioPlus,North,Uttar Pradesh,Diabetology,Low,4,18,22,0.0753,25429.49,16144.24,5,13,9285.25,0.3651
2025-01-01,D0025,R023,P005,MediCore,East,Bihar,General Medicine,Medium,2,30,37,0.0813,24473.62,17710.24,12,18,6763.37,0.2764
