rep_id,rep_name,region,years_experience
R001,Rep_001,North,4
R002,Rep_002,South,5
R003,Rep_003,East,6
R004,Rep_004,West,3
R005,Rep_005,Central,7
R006,Rep_006,North,6
R007,Rep_007,South,2
R008,Rep_008,East,5
R009,Rep_009,West,6
R010,Rep_010,Central,3
R011,Rep_011,North,6
R012,Rep_012,South,7
R013,Rep_013,East,6
R014,Rep_014,West,6
R015,Rep_015,Central,5
R016,Rep_016,North,2
R017,Rep_017,South,6
R018,Rep_018,East,3
R019,Rep_019,West,4
R020,Rep_020,Central,3
R021,Rep_021,North,3
R022,Rep_022,South,2
R023,Rep_023,East,7
R024,Rep_024,West,2
R025,Rep_025,Central,1
